product_id,sku,name,category,price,is_active
1,SKU0001,Prod1,Clothing,706.68,True
2,SKU0002,Prod2,Clothing,1560.01,True
3,SKU0003,Prod3,Clothing,1761.0,True
4,SKU0004,Prod4,Books,4946.1,True
5,SKU0005,Prod5,Clothing,1566.09,True
6,SKU0006,Prod6,Books,1950.56,True
7,SKU0007,Prod7,Electronics,1706.45,True
8,SKU0008,Prod8,Clothing,2326.12,True
9,SKU0009,Prod9,Books,2185.89,False
10,SKU0010,Prod10,Electronics,552.02,False
11,SKU0011,Prod11,Electronics,2433.64,False
12,SKU0012,Prod12,Electronics,1909.54,False
13,SKU0013,Prod13,Books,2838.95,False
14,SKU0014,Prod14,Clothing,2963.09,False
15,SKU0015,Prod15,Clothing,3476.19,False
16,SKU0016,Prod16,Books,4869.04,True
17,SKU0017,Prod17,Electronics,2578.35,False
18,SKU0018,Prod18,Books,2342.79,True
19,SKU0019,Prod19,Books,1141.95,False
20,SKU0020,Prod20,Electronics,3757.83,False
21,SKU0021,Prod21,Electronics,3047.84,False
22,SKU0022,Prod22,Electronics,692.25,False
23,SKU0023,Prod23,Electronics,2661.61,True
24,SKU0024,Prod24,Clothing,1594.13,False
25,SKU0025,Prod25,Clothing,1540.51,True
26,SKU0026,Prod26,Electronics,796.49,False
27,SKU0027,Prod27,Electronics,4690.42,False
28,SKU0028,Prod28,Clothing,1156.35,False
29,SKU0029,Prod29,Electronics,699.41,False
30,SKU0030,Prod30,Electronics,4365.09,False
31,SKU0031,Prod31,Clothing,2907.99,False
32,SKU0032,Prod32,Clothing,3928.61,False
33,SKU0033,Prod33,Books,4185.05,True
34,SKU0034,Prod34,Electronics,2573.34,False
35,SKU0035,Prod35,Clothing,3369.38,True
36,SKU0036,Prod36,Books,1693.56,False
37,SKU0037,Prod37,Clothing,1240.83,False
38,SKU0038,Prod38,Clothing,2750.87,False
39,SKU0039,Prod39,Books,1459.14,True
40,SKU0040,Prod40,Electronics,3565.32,False
41,SKU0041,Prod41,Books,3261.28,True
42,SKU0042,Prod42,Electronics,4780.32,True
43,SKU0043,Prod43,Books,2656.59,False
44,SKU0044,Prod44,Books,4494.63,True
45,SKU0045,Prod45,Books,4687.29,True
46,SKU0046,Prod46,Electronics,1447.32,True
47,SKU0047,Prod47,Electronics,4165.48,False
48,SKU0048,Prod48,Electronics,4053.91,False
49,SKU0049,Prod49,Clothing,2985.58,False
50,SKU0050,Prod50,Electronics,1765.79,True
51,SKU0051,Prod51,Clothing,217.88,False
52,SKU0052,Prod52,Clothing,1360.17,True
53,SKU0053,Prod53,Electronics,2754.72,False
54,SKU0054,Prod54,Electronics,995.08,True
55,SKU0055,Prod55,Electronics,1603.29,False
56,SKU0056,Prod56,Books,929.04,False
57,SKU0057,Prod57,Electronics,233.14,True
58,SKU0058,Prod58,Clothing,2010.7,False
59,SKU0059,Prod59,Electronics,2122.83,False
60,SKU0060,Prod60,Clothing,1940.01,True
61,SKU0061,Prod61,Electronics,1092.54,True
62,SKU0062,Prod62,Clothing,2592.24,False
63,SKU0063,Prod63,Electronics,1419.51,False
64,SKU0064,Prod64,Clothing,2810.29,True
65,SKU0065,Prod65,Clothing,241.64,True
66,SKU0066,Prod66,Electronics,1418.88,True
67,SKU0067,Prod67,Electronics,3838.59,True
68,SKU0068,Prod68,Clothing,2884.4,False
69,SKU0069,Prod69,Electronics,4246.76,True
70,SKU0070,Prod70,Electronics,1929.2,True
71,SKU0071,Prod71,Electronics,2733.92,False
72,SKU0072,Prod72,Books,2313.54,True
